areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
4,2000.0,30,Ready to Move,1 out of 1,Unfurnished,3,1675.0,3350000.0
4,1120.0,30,Ready to Move,5 out of 13,Furnished,2,4018.0,4500000.0
4,1280.0,38,Ready to Move,Resale,,,3906.0,5000000.0
2,1188.0,21,Freehold,Resale,,,2778.0,3300000.0
4,970.0,30,Ready to Move,3 out of 4,Semi-Furnished,2,3093.0,3000000.0
4,750.0,30,Ready to Move,Ground out of 3,Semi-Furnished,1,2933.0,2200000.0
4,380.0,30,Ready to Move,1 out of 5,,,6579.0,2500000.0
4,810.0,31,Ready to Move,Resale,2,,5556.0,4500000.0
1,650.0,23,Ready to Move,8 out of 14,Unfurnished,2,3051.0,3600000.0
4,750.0,30,Ready to Move,6 out of 7,Unfurnished,Garden/Park,2735.0,2050000.0
4,950.0,30,Ready to Move,1 out of 5,Semi-Furnished,1,2947.0,2800000.0
4,1065.0,30,Ready to Move,2 out of 6,Unfurnished,2,2347.0,2500000.0
1,130.0,30,Ready to Move,Ground out of 3,,,26923.0,3500000.0
4,648.0,30,Ready to Move,Ground out of 1,Unfurnished,1 Covered,3086.0,2000000.0
4,480.0,30,Ready to Move,1 out of 2,Unfurnished,2,2812.0,1350000.0
1,410.0,30,Ready to Move,3 out of 4,Furnished,1,2857.0,2000000.0
4,403.0,30,Ready to Move,7 out of 11,,,6203.0,2500000.0
4,925.0,38,Ready to Move,Resale,,,2347.0,2170000.0
4,1225.0,30,Ready to Move,1 out of 5,Unfurnished,2,2449.0,3000000.0
4,862.0,30,Ready to Move,4 out of 5,Semi-Furnished,2,3191.0,2750000.0
4,600.0,30,Ready to Move,Ground out of 1,Unfurnished,2,4500.0,2700000.0
4,1200.0,30,Ready to Move,2 out of 7,Unfurnished,East,3917.0,4700000.0
1,195.0,30,Ready to Move,Ground out of 5,,,4416.0,1700000.0
1,110.0,30,Ready to Move,Upper Basement out of 4,,,31818.0,3500000.0
1,405.0,0,Ready to Move,Furnished,,,,3300000.0
2,420.0,5,Freehold,Resale,1,No,2857.0,1200000.0
4,1400.0,30,Ready to Move,2 out of 4,Furnished,2,3571.0,5000000.0
4,260.0,30,Ready to Move,Ground out of 5,,,14615.0,3800000.0
4,496.0,30,Ready to Move,1 out of 4,,,5444.0,2700000.0
4,700.0,30,Ready to Move,5 out of 10,Unfurnished,2,2714.0,1900000.0
2,420.0,7,Resale,Congo,No,,4762.0,2000000.0
1,3.0,30,Ready to Move,2 out of 7,Unfurnished,East,3429.0,1200000.0
2,1413.0,30,120 X 105,Freehold,2,30 m,1699.0,2400000.0
4,500.0,30,Ready to Move,Ground out of 5,,,6400.0,3200000.0
4,650.0,30,Ready to Move,3 out of 5,Unfurnished,1,2000.0,1300000.0
4,1150.0,30,Ready to Move,4 out of 5,Semi-Furnished,2,2174.0,2500000.0
4,850.0,30,Ready to Move,4 out of 5,Semi-Furnished,2,2588.0,2200000.0
4,900.0,30,Ready to Move,3 out of 5,Semi-Furnished,1,1444.0,1300000.0
4,910.0,30,Ready to Move,3 out of 4,Furnished,1,2747.0,2500000.0
4,180.0,30,Ready to Move,Ground out of 5,,,10000.0,1800000.0
4,800.0,30,Ready to Move,3 out of 5,Unfurnished,2,3250.0,2600000.0
4,341.0,30,Ready to Move,Ground out of 2,1,,4106.0,1400000.0
2,2493.0,37,Resale,3,,,309.0,770000.0
4,600.0,30,Ready to Move,4 out of 5,1,,4167.0,2500000.0
4,250.0,30,Ready to Move,1 out of 5,,,6000.0,1500000.0
4,200.0,30,Ready to Move,2 out of 3,,,10000.0,2000000.0
2,648.0,24,Resale,3,,,3086.0,2000000.0
2,882.0,0,Freehold,Resale,No,,1701.0,1500000.0
4,600.0,30,Ready to Move,3 out of 5,1,,6667.0,4000000.0
4,490.0,30,Ready to Move,4 out of 4,Unfurnished,1,1735.0,850000.0
4,400.0,30,Ready to Move,4 out of 5,Semi-Furnished,1,2500.0,1000000.0
4,960.0,31,3 out of 7,Resale,2,,4167.0,4000000.0
4,525.0,38,Ready to Move,Resale,,,2857.0,1500000.0
4,1200.0,30,Ready to Move,4 out of 8,Unfurnished,North,3750.0,4500000.0
2,1647.0,0,Co-operative Society,Resale,No,,2125.0,3500000.0
4,1040.0,30,Ready to Move,1 out of 7,Semi-Furnished,2,3846.0,4000000.0
4,132.0,30,Ready to Move,Ground,1 Covered,,25000.0,3300000.0
2,650.0,24,Resale,3,,,1846.0,1200000.0
4,1150.0,30,Ready to Move,2 out of 3,Unfurnished,2,3896.0,4480000.0
1,660.0,30,Ready to Move,4 out of 5,Furnished,East,3932.0,4600000.0
4,1400.0,30,Ready to Move,Ground out of 2,Semi-Furnished,2,1786.0,2500000.0
4,1296.0,30,Ready to Move,Ground out of 3,Semi-Furnished,3,3086.0,4000000.0
1,1008.0,30,Ready to Move,5 out of 5,Furnished,2,,3600000.0
1,650.0,35,Ready to Move,Resale,North,"Garden/Park, Main Road",3030.0,2000000.0
4,990.0,30,Ready to Move,1 out of 6,Unfurnished,North,3838.0,3800000.0
4,1161.0,30,Ready to Move,1 out of 1,Semi-Furnished,East,4005.0,4650000.0
4,432.0,35,Ready to Move,Resale,East,Main Road,2778.0,1200000.0
4,200.0,30,Ready to Move,1 out of 5,,,9000.0,1800000.0
4,801.0,30,Ready to Move,9 out of 11,Unfurnished,1,1998.0,1600000.0
4,1092.0,23,Poss. by May '26,14 out of 14,Unfurnished,2,3200.0,3490000.0
1,1000.0,30,Ready to Move,3 out of 5,Unfurnished,South -West,3529.0,4500000.0
1,210.0,30,Ready to Move,Ground out of 1,,,8571.0,3000000.0
4,1200.0,30,Ready to Move,4 out of 7,Unfurnished,"Garden/Park, Main Road",3750.0,4500000.0
4,900.0,35,Ready to Move,New Property,East,Garden/Park,3994.0,3600000.0
4,1252.0,30,Ready to Move,5 out of 14,Unfurnished,East,3594.0,4500000.0
1,504.0,30,Ready to Move,1 out of 1,,,3871.0,1950000.0
4,1000.0,30,Ready to Move,3 out of 5,Furnished,East,2500.0,2500000.0
1,118.0,30,Ready to Move,1 out of 8,,,7806.0,1850000.0
4,504.0,30,Ready to Move,Ground out of 1,Unfurnished,West,3968.0,2000000.0
4,625.0,30,Ready to Move,3 out of 4,Semi-Furnished,1,2642.0,1650000.0
1,800.0,30,Ready to Move,5 out of 7,Furnished,East,4167.0,5000000.0
4,720.0,30,Ready to Move,Ground out of 1,Unfurnished,2,4028.0,2900000.0
