areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
1,1702.0,30,Ready to Move,7 out of 14,Unfurnished,North - East,4800.0,14000000.0
1,1400.0,23,Poss. by Dec '24,5 out of 13,Unfurnished,North - East,5111.0,12700000.0
4,2217.0,23,Poss. by Jul '24,4 out of 12,Unfurnished,East,6000.0,13300000.0
4,2200.0,23,Ready to Move,6 out of 12,Unfurnished,South -West,5000.0,11000000.0
4,2751.0,23,Poss. by Jul '25,5 out of 13,Unfurnished,South -West,5089.0,14000000.0
1,1485.0,35,Ready to Move,New Property,East,Garden/Park,5491.0,14000000.0
4,1512.0,35,Ready to Move,New Property,East,"Garden/Park, Pool, Main Road",6944.0,10500000.0
1,1577.0,23,Ready to Move,9 out of 14,Unfurnished,North - East,4743.0,12900000.0
4,2152.0,23,Poss. by Nov '24,7 out of 13,Unfurnished,East,5200.0,11100000.000000002
4,2720.0,23,Poss. by Jul '24,5 out of 12,Unfurnished,East,4700.0,12700000.0
4,2300.0,23,Ready to Move,6 out of 12,Unfurnished,South -West,5000.0,11500000.0
4,2578.0,23,Ready to Move,7 out of 13,Unfurnished,South - East,5750.0,14800000.0
1,1180.0,35,Ready to Move,New Property,East,Main Road,5004.0,10100000.0
4,1260.0,31,Ready to Move,Resale,East,"Garden/Park, Main Road",9921.0,12500000.0
1,1045.0,23,Ready to Move,11 out of 13,Unfurnished,North - East,5502.0,10400000.0
4,2323.0,23,Ready to Move,5 out of 19,Unfurnished,East,5811.0,13500000.0
1,1317.0,23,Poss. by Apr '25,5 out of 13,Unfurnished,East,5500.0,13200000.0
4,2560.0,23,Ready to Move,7 out of 13,Unfurnished,South -West,4883.0,12500000.0
1,1400.0,35,Poss. by Jul '24,New Property,East,Main Road,5600.0,13000000.0
4,891.0,23,Ready to Move,Ground out of 2,Unfurnished,East,15152.0,13500000.0
1,1427.0,23,Ready to Move,1 out of 13,Unfurnished,North - East,4491.0,11000000.0
1,1094.0,30,Ready to Move,9 out of 12,Unfurnished,East,5798.0,11700000.0
1,1281.0,23,Poss. by Mar '25,9 out of 13,Unfurnished,East,4500.0,10400000.0
4,1953.0,23,Ready to Move,7 out of 13,Unfurnished,South -West,5200.0,10100000.0
1,1240.0,35,Ready to Move,New Property,East,Main Road,6060.0,12400000.0
1,819.0,35,Ready to Move,New Property,East,"Pool, Garden/Park, Main Road",,14100000.0
1,1500.0,30,Ready to Move,5 out of 10,Unfurnished,North - East,5130.0,11800000.0
4,2152.0,30,Ready to Move,3 out of 13,Furnished,North,6738.0,14500000.0
1,9720.0,23,Ready to Move,6 out of 13,Unfurnished,East,5100.0,10000000.0
4,2432.0,23,Ready to Move,7 out of 13,Unfurnished,South -West,5481.0,13300000.0
1,1500.0,35,Ready to Move,New Property,East,Garden/Park,4800.0,13000000.0
1,1309.0,23,Ready to Move,15 out of 20,Unfurnished,North - East,5600.0,13300000.0
4,2250.0,23,Ready to Move,5 out of 13,Unfurnished,East,6500.0,14600000.0
1,1595.0,23,Poss. by Apr '25,8 out of 12,Unfurnished,East,4690.0,13600000.000000002
1,1281.0,23,Poss. by Dec '24,5 out of 13,Unfurnished,South -West,4483.0,10400000.0
1,1616.0,35,Poss. by Dec '26,New Property,East,Main Road,4700.0,13799999.999999998
1,1320.0,30,Poss. by Jan '25,7 out of 10,Unfurnished,North - East,5200.0,12400000.0
4,2753.0,23,Poss. by Dec '25,7 out of 13,Unfurnished,East,,
4,2900.0,23,Poss. by Apr '25,8 out of 12,Unfurnished,East,4690.0,13600000.000000002
4,2500.0,23,Poss. by Dec '25,5 out of 11,Unfurnished,South -West,,
1,1323.0,35,Poss. by May '25,New Property,East,Main Road,4650.0,10200000.0
1,1045.0,23,Ready to Move,5 out of 10,Unfurnished,North - East,5579.0,10600000.0
4,2433.0,23,Ready to Move,5 out of 13,Unfurnished,East,5931.0,14400000.0
4,2440.0,23,Poss. by Aug '25,5 out of 10,Unfurnished,East,,
1,1740.0,35,Poss. by May '25,New Property,East,Main Road,4650.0,13400000.0
1,1374.0,23,Ready to Move,7 out of 13,Unfurnished,North - East,5400.0,13500000.0
1,1261.0,35,Ready to Move,New Property,East,Main Road,6060.0,13500000.0
1,1410.0,30,Ready to Move,7 out of 13,Unfurnished,North - East,5458.0,13100000.0
1,1320.0,23,Ready to Move,8 out of 13,Unfurnished,North - East,5000.0,12000000.0
1,1422.0,23,Ready to Move,7 out of 13,Unfurnished,North - East,5493.0,14200000.0
1,1158.0,23,Ready to Move,10 out of 13,Unfurnished,North - East,5701.0,12000000.0
1,1293.0,23,Ready to Move,6 out of 13,Unfurnished,North - East,5574.0,13100000.0
1,1102.0,30,Ready to Move,6 out of 10,Unfurnished,North - East,5387.0,10800000.0
4,5000.0,35,Poss. by Mar '25,New Property,Sattvam,1 Open,4600.0,23000000.0
4,3250.0,35,Poss. by Dec '26,New Property,Sangini Epitome,4,4750.0,15400000.0
4,4000.0,35,Poss. by Jan '25,New Property,Surya Signature,4,7100.0,28400000.0
4,2440.0,23,Poss. by Feb '26,5 out of 13,Unfurnished,East,6336.0,15400000.0
4,3970.0,23,Poss. by Jul '26,18 out of 19,Unfurnished,East,6348.0,25200000.0
4,2578.0,23,Poss. by Jul '24,8 out of 13,Unfurnished,East,5818.0,15000000.0
1,1978.0,23,Poss. by Aug '25,7 out of 10,Unfurnished,East,5000.0,21900000.0
4,3600.0,30,Ready to Move,Ground out of 2,Unfurnished,East,19444.0,70000000.0
4,4452.0,23,Poss. by Jan '25,6 out of 12,Unfurnished,East,6300.0,28000000.0
4,1820.0,23,Poss. by Jul '25,Ground out of 10,1 Covered,1,19000.0,34500000.0
1,2100.0,23,Poss. by Dec '25,4 out of 14,Unfurnished,East,4750.0,18000000.0
4,3250.0,23,Poss. by Dec '26,3 out of 13,Unfurnished,East,4751.0,15400000.0
4,3415.0,23,Poss. by Jun '26,5 out of 13,Unfurnished,North - East,4751.0,16200000.000000002
4,1470.0,30,Ready to Move,8 out of 9,3 Covered,1,13605.0,20000000.0
1,1500.0,30,Ready to Move,1 out of 1,Unfurnished,2,,22500000.0
1,6300.0,30,Ready to Move,8 out of 10,2,,7500.0,75000000.0
1,1500.0,23,Ready to Move,Ground out of 1,Furnished,North - East,11333.0,17000000.0
0,315200.0,38,Resale,,,,63.0,20000000.0
1,680.0,30,Ready to Move,Lower Basement out of 1,,,147059.0,100000000.0
4,3513.0,35,12 out of 12,Resale,4,,7051.0,24700000.000000004
1,14580.0,15,Ready to Move,Resale,North,"Garden/Park, Main Road",,17000000.0
4,2536.0,23,Poss. by Dec '25,9 out of 13,Unfurnished,East,6309.0,16000000.0
4,3100.0,23,Poss. by Aug '25,10 out of 18,Unfurnished,South -West,6452.0,20000000.0
1,1490.0,35,Ready to Move,New Property,East,Main Road,5700.0,15400000.0
1,2500.0,35,Ready to Move,Resale,East,"Garden/Park, Main Road",4714.0,16500000.0
4,5000.0,23,Poss. by Dec '25,7 out of 20,Unfurnished,North - East,7000.0,35000000.0
4,4000.0,23,Poss. by Mar '26,11 out of 20,Unfurnished,East,7125.0,28500000.0
1,2097.0,15,Ready to Move,Resale,East,"Garden/Park, Main Road",17406.0,36500000.0
1,3500.0,31,Ready to Move,Resale,North - East,"Garden/Park, Main Road",4857.0,17000000.0
4,,23,Poss. by Jan '26,9 out of 14,Unfurnished,East,11500.0,129300000.0
4,2493.0,23,Poss. by Sep '25,5 out of 13,Unfurnished,South -West,6570.0,16299999.999999998
4,6000.0,30,Ready to Move,Ground out of 2,Unfurnished,South -West,9167.0,55000000.0
4,3636.0,23,Ready to Move,4 out of 12,Unfurnished,East,7200.0,26100000.0
1,2000.0,31,Ready to Move,Resale,Main Road,Freehold,19753.0,32000000.0
4,1008.0,30,Ready to Move,1 out of 2,Unfurnished,South -West,15972.0,16100000.000000002
4,3087.0,23,Poss. by Dec '25,1 out of 13,Unfurnished,East,5591.0,17200000.0
4,3700.0,23,Ready to Move,5 out of 13,Furnished,South - East,10811.0,40000000.0
4,5247.0,30,Ready to Move,1 out of 1,Furnished,"Garden/Park, Main Road",17153.0,90000000.0
1,2900.0,23,Poss. by Oct '24,17 out of 18,Unfurnished,East,9500.0,55100000.0
4,5000.0,23,Poss. by Aug '25,7 out of 17,Unfurnished,East,10000.0,50000000.0
4,3240.0,23,Poss. by Oct '25,11 out of 12,Unfurnished,East,5185.0,16800000.0
4,3294.0,23,Poss. by Jan '26,10 out of 13,Unfurnished,East,4948.0,16299999.999999998
1,1305.0,35,Ready to Move,Resale,East,Main Road,,36500000.0
2,2250.0,0,Co-operative Society,Resale,3,No,15156.0,34100000.0
4,1359.0,35,Ready to Move,Resale,East,"Garden/Park, Main Road",18469.0,25100000.0
4,945.0,35,Ready to Move,New Property,East,"Garden/Park, Pool, Main Road",15979.0,15100000.0
4,4351.0,23,Ready to Move,6 out of 10,Unfurnished,North - East,6500.0,28200000.0
1,3000.0,30,Ready to Move,1 out of 1,Unfurnished,Freehold,12222.0,19800000.0
1,3105.0,15,Ready to Move,Resale,East,"Garden/Park, Main Road",12500.0,50000000.0
4,2100.0,23,Ready to Move,2 out of 2,Unfurnished,West,11952.0,25100000.0
4,,38,Ready to Move,Resale,,,1624.0,34100000.0
1,1400.0,30,Ready to Move,Ground out of 1,Furnished,3,8671.0,15000000.0
1,1440.0,30,Ready to Move,Ground out of 2,Furnished,5,14583.0,21000000.0
4,3150.0,30,Ready to Move,11 out of 12,Semi-Furnished,4,4762.0,15000000.0
1,1200.0,31,Ready to Move,Resale,Co-operative Society,3,14438.0,23000000.0
1,2744.7945,30,Ready to Move,1 out of 2,Unfurnished,East,10857.0,29800000.0
2,6525.0,37,Resale,5,,,2759.0,18000000.0
1,3400.0,31,Ready to Move,Resale,6,3,16026.0,60000000.0
1,850.0,30,Ready to Move,Ground out of 6,,,17647.0,15000000.0
1,5400.0,30,Ready to Move,2 out of 2,Unfurnished,North,9259.0,50000000.0
1,2970.0,15,Ready to Move,Resale,Freehold,3,,75000000.0
4,6130.0,30,Ready to Move,11 out of 12,Unfurnished,Main Road,4649.0,28500000.0
1,1333.0,30,Ready to Move,1 out of 4,,,12003.0,16000000.0
4,1675.0,13,Ready to Move,Resale,2 Open,3,29851.0,50000000.0
4,855.0,30,Ready to Move,Ground out of 3,Unfurnished,3,17544.0,15000000.0
4,5193.0,15,Ready to Move,Resale,5,3,14443.0,75000000.0
4,4000.0,30,Ready to Move,Ground out of 4,3,,10000.0,40000000.0
0,2000.0,38,Resale,,,,15000.0,30000000.0
4,1854.0,15,Ready to Move,Resale,3,,18878.0,35000000.0
4,1840.0,30,Ready to Move,3 out of 6,,,9000.0,16500000.0
2,1530.0,37,Resale,3,,,14706.0,22500000.0
1,2000.0,5,Ready to Move,Semi-Furnished,,,,15000000.0
2,3000.0,23,110 X 27.27,Freehold,5,2,11000.0,33000000.0
0,16280.0,38,Resale,,,,3994.0,65000000.0
4,3900.0,30,Ready to Move,7 out of 10,Semi-Furnished,5,6000.0,23400000.0
4,1800.0,35,Ready to Move,Resale,3,,9444.0,17000000.0
1,2400.0,30,Poss. by Aug '26,9 out of 19,Unfurnished,North,6494.0,27600000.0
2,4950.0,5,Freehold,Resale,2,6 m,15152.0,75000000.0
0,49960.0,38,Resale,,,,723.0,36100000.0
1,2200.0,30,Ready to Move,Ground out of 4,,,9591.0,21100000.0
1,4150.0,30,Ready to Move,9 out of 25,Unfurnished,South -West,8264.0,49900000.0
4,3200.0,23,Poss. by Dec '24,7 out of 13,Unfurnished,East,5500.0,17600000.0
1,3000.0,23,Poss. by Jan '25,3 out of 4,Unfurnished,1,,20000000.0
1,2800.0,30,Ready to Move,2 out of 11,Unfurnished,South,5161.0,24000000.0
4,8000.0,30,Ready to Move,2 out of 3,Furnished,South,10625.0,85000000.0
1,1710.0,30,Ready to Move,Ground out of 2,Semi-Furnished,4,,30000000.0
1,3798.0,30,Ready to Move,Ground out of 3,Semi-Furnished,East,13823.0,52500000.0
0,61000.0,38,Resale,,,,328.0,20000000.0
1,3300.0,30,Ready to Move,6 out of 20,Furnished,North - East,6833.0,41000000.0
1,1807.0,23,Poss. by Sep '24,4 out of 13,Unfurnished,East,5753.0,18900000.0
4,2264.0,15,Ready to Move,Resale,3 Covered,2,11042.0,25000000.0
1,2547.0,30,Ready to Move,Ground out of 2,Furnished,3,,28300000.0
1,1400.0,30,Ready to Move,1 out of 3,,,5357.0,15000000.0
1,3280.0,30,Ready to Move,1 out of 3,Unfurnished,Atithi Western Oasis,7652.0,25100000.0
2,1980.0,37,Resale,2,,,11111.0,22000000.0
4,2150.0,30,Ready to Move,1 out of 2,1,,13953.0,30000000.0
1,6200.0,23,Ready to Move,3 out of 3,Furnished,Freehold,5645.0,35000000.0
1,1860.0,30,Ready to Move,4 out of 12,Furnished,East,7824.0,25100000.0
1,3200.0,30,Ready to Move,9 out of 13,Unfurnished,North - East,6123.0,34900000.0
1,225.0,31,Ready to Move,Resale,Someshwara Enclave,4,,33300000.0
4,,38,Ready to Move,Resale,,,1719.0,185000000.0
4,3500.0,30,Ready to Move,2 out of 7,,,6500.0,22700000.0
4,,30,Ready to Move,Ground out of 8,> 10,,11507.0,315000000.0
1,1700.0,30,Ready to Move,1 out of 9,,,8830.0,22500000.0
4,3500.0,30,Ready to Move,Ground out of 4,Furnished,5,4857.0,17000000.0
2,3078.0,20,Freehold,Resale,,,5000.0,15300000.0
4,2750.0,31,Ready to Move,Resale,2,,7055.0,19400000.0
4,2750.0,23,Poss. by Jun '24,7 out of 13,Unfurnished,South -West,5900.0,16200000.000000002
0,291000.0,38,New Property,,,,1409.0,410000000.0
4,1665.0,30,Ready to Move,Ground out of 2,Unfurnished,3,9009.0,15000000.0
1,2500.0,30,Ready to Move,10 out of 10,Furnished,North,5890.0,21500000.0
1,8500.0,15,Ready to Move,Resale,West,Garden/Park,19444.0,70000000.0
1,7000.0,30,Ready to Move,Ground out of 3,Semi-Furnished,East,12482.0,25500000.0
2,3915.0,30,73.7 X 53.1,Freehold,1,1,11494.0,45000000.0
4,1218.0,30,Ready to Move,Ground out of 5,,,18883.0,23000000.0
4,1700.0,15,Ready to Move,Resale,East,Main Road,16765.0,28500000.0
4,1808.0,30,Ready to Move,1 out of 4,,,12445.0,22500000.0
1,5900.0,30,Ready to Move,8 out of 11,Unfurnished,South - East,6915.0,40800000.0
0,10.0,38,Resale,,,,12500000.0,125000000.0
4,2650.0,30,Ready to Move,6 out of 12,Unfurnished,North,6000.0,15900000.0
4,3000.0,30,Ready to Move,1 out of 1,1,,6667.0,20000000.0
1,1900.0,30,Ready to Move,2 out of 2,,,5991.0,22000000.0
4,,38,Ready to Move,Resale,,,3205.0,50000000.0
1,2400.0,30,Ready to Move,9 out of 9,Furnished,Harmony,6200.0,15500000.0
4,7200.0,35,Ready to Move,Resale,5,,7200.0,51800000.0
1,4000.0,15,Ready to Move,Resale,Freehold,4,7800.0,35100000.0
1,996.0,30,Ready to Move,5 out of 6,1,,8032.0,16000000.0
4,2500.0,30,Ready to Move,1 out of 1,Semi-Furnished,North,10000.0,25000000.0
2,1367.0,8,52.5 X 26.1,Resale,1,4 m,10972.0,15000000.0
4,3000.0,30,Ready to Move,Ground out of 11,1,,6033.0,18100000.0
1,340.0,15,Ready to Move,Resale,East,Garden/Park,12418.0,38000000.0
1,27646.0,30,Ready to Move,3 out of 7,Unfurnished,1,9852.0,5344400000.000001
4,2250.0,30,Ready to Move,Ground out of 2,Furnished,3,22222.0,50000000.0
1,2340.0,30,Ready to Move,2 out of 3,Unfurnished,North - West,19231.0,45000000.0
1,2653.0,23,Poss. by Jan '27,7 out of 13,Unfurnished,South -West,6281.0,30300000.0
1,1969.0,35,Ready to Move,Resale,Green Valley Row House,3,7500.0,18000000.0
4,1300.0,30,Ready to Move,Ground out of 3,Unfurnished,3,15385.0,20000000.0
1,1412.0,31,Ready to Move,Resale,3,,9921.0,15000000.0
1,1080.0,23,Ready to Move,3 out of 12,Furnished,East,7645.0,15000000.0
2,5373.0,20,Power Of Attorney,Resale,,,2792.0,15000000.0
4,5800.0,30,Ready to Move,Ground out of 1,4,,12009.0,69600000.0
1,5000.0,30,Ready to Move,6 out of 18,Unfurnished,Cellestial Dreams,7305.0,70000000.0
4,2950.0,30,Ready to Move,7 out of 13,Furnished,4,5763.0,17000000.0
4,3507.0,23,Poss. by Jul '27,1 out of 5,Unfurnished,3,5703.0,20000000.0
4,1905.2103,30,Ready to Move,12 out of 12,Furnished,Nandanvan III,9185.0,17500000.0
4,6381.0,38,Ready to Move,Resale,,,7052.0,45000000.0
4,950.0,30,Ready to Move,1 out of 1,Unfurnished,3,15789.0,15000000.0
2,2277.0,20,Freehold,Resale,,,14273.0,32500000.0
4,2700.0,30,Ready to Move,Ground out of 2,Semi-Furnished,3,7407.0,20000000.0
1,912.0,30,Ready to Move,1 out of 5,,,21930.0,20000000.0
4,3050.0,30,Ready to Move,4 out of 10,Semi-Furnished,South,5000.0,15200000.0
0,302400.0,38,New Property,,,,397.0,120000000.0
4,1280.0,38,Ready to Move,Resale,,,15625.0,20000000.0
4,,38,Ready to Move,Resale,,,1400.0,70000000.0
4,2880.0,15,Ready to Move,Resale,7,,24306.0,70000000.0
1,2850.0,30,Ready to Move,11 out of 13,Furnished,South -West,6510.0,25000000.0
4,1890.0,30,Ready to Move,Ground out of 3,Unfurnished,2,7937.0,15000000.0
1,4400.0,23,Ready to Move,2 out of 4,,,5682.0,25000000.0
1,3100.0,23,Ready to Move,10 out of 12,Unfurnished,North,7948.0,25100000.0
4,2500.0,30,Ready to Move,9 out of 10,Semi-Furnished,1 Covered,6000.0,15000000.0
1,3300.0,15,Ready to Move,Resale,East,"Garden/Park, Main Road",4369.0,15100000.0
0,2500.0,38,Resale,,,,14200.0,35500000.0
1,5300.0,30,Ready to Move,11 out of 11,Unfurnished,East,10074.0,27200000.000000004
1,5500.0,30,Ready to Move,Ground out of 2,Furnished,Garden/Park,,32500000.0
4,170.0,30,Ready to Move,Ground out of 13,,,88235.0,15000000.0
4,2100.0,30,Ready to Move,2 out of 3,Semi-Furnished,4,7857.0,16500000.0
4,3215.0,30,Ready to Move,12 out of 12,Unfurnished,East,5910.0,19000000.0
2,4410.0,38,Resale,No,,,6803.0,30000000.0
2,5400.0,5,Co-operative Society,Resale,2,Garden/Park,12222.0,66000000.0
4,6000.0,38,Ready to Move,Resale,,,8333.0,50000000.0
2,1359.0,24,Resale,5,,,14349.0,19500000.0
1,1000.0,30,Ready to Move,4 out of 4,Unfurnished,East,50000.0,50000000.0
1,2400.0,30,Ready to Move,13 out of 13,Unfurnished,East,5307.0,25100000.0
4,3882.0,35,4 out of 11,Resale,Main Road,aventis ofira,7032.0,27300000.0
4,2412.0,30,Ready to Move,Ground out of 3,Unfurnished,5,8292.0,20000000.0
4,1674.0,36,Ready to Move,Resale,,,18578.0,31100000.0
4,2700.0,35,Ready to Move,Resale,4,,7407.0,20000000.0
4,3020.0,30,Ready to Move,11 out of 11,Unfurnished,Samarth Enclave,5464.0,16500000.0
0,8140.0,38,Resale,,,,4607.0,37500000.0
1,3200.0,15,Ready to Move,Resale,1,,12500.0,40000000.0
1,2400.0,30,Ready to Move,6 out of 11,Furnished,West,6026.0,21000000.0
4,1423.0,30,Ready to Move,1 out of 3,2 Open,,10541.0,15000000.0
1,900.0,30,Ready to Move,1 out of 3,Unfurnished,Freehold,17500.0,18900000.0
4,3780.0,35,7 out of 13,New Property,South -West,"Garden/Park, Pool, Main Road",5741.0,21700000.0
4,17316.0,38,Ready to Move,Resale,,,5775.0,100000000.0
4,1060.0,30,Ready to Move,Ground out of 3,Furnished,5,18868.0,20000000.0
2,17100.0,38,Freehold,New Property,,,906.0,15500000.0
1,2154.0,30,Ready to Move,4 out of 13,Unfurnished,4,6536.0,25000000.0
4,2350.0,30,Ready to Move,3 out of 7,3,,10638.0,25000000.0
1,1912.0,35,Ready to Move,Resale,Green Valley,4,7500.0,18000000.0
4,990.0,38,Ready to Move,Resale,,,20202.0,20000000.0
4,3876.0,30,Ready to Move,4 out of 11,Unfurnished,4,6000.0,23200000.0
4,9450.0,23,Ready to Move,5 out of 11,Unfurnished,East,5291.0,50000000.0
4,2500.0,30,Ready to Move,Ground out of 6,Unfurnished,2,24000.0,60000000.0
1,2150.0,35,Ready to Move,Resale,West,Garden/Park,5380.0,26900000.0
4,2000.0,30,Ready to Move,Ground out of 1,2,,15000.0,30000000.0
4,19800.0,38,Ready to Move,Resale,,,27778.0,550000000.0
4,3124.0,30,Ready to Move,10 out of 13,Furnished,East,9923.0,31000000.0
1,1430.0,30,Ready to Move,12 out of 12,Furnished,"Garden/Park, Pool, Main Road",5962.0,15500000.0
1,2100.0,30,Ready to Move,10 out of 12,Furnished,Happy Home Capital Greens,9781.0,33100000.0
1,1400.0,31,Ready to Move,Resale,3,1,9375.0,15000000.0
4,5000.0,30,Ready to Move,Ground out of 1,Semi-Furnished,3,3000.0,15000000.0
4,1500.0,35,Ready to Move,Resale,3,,11000.0,16500000.0
1,4500.0,35,Ready to Move,Resale,East,Garden/Park,5200.0,26000000.0
4,4500.0,30,Ready to Move,Ground out of 2,Semi-Furnished,4,5556.0,25000000.0
4,6200.0,9,Resale,Furnished,,,5645.0,35000000.0
1,2835.0,23,Ready to Move,10 out of 13,Unfurnished,West,6317.0,35000000.0
1,2350.0,30,Ready to Move,10 out of 12,Unfurnished,West,6200.0,15800000.0
1,1660.0,30,Poss. by Jan '25,5 out of 13,Unfurnished,East,5236.0,15500000.0
1,1400.0,30,Ready to Move,11 out of 12,Unfurnished,"Garden/Park, Pool, Main Road",6000.0,15900000.0
4,1152.0,30,Ready to Move,Upper Basement out of 3,Semi-Furnished,5,13108.0,15100000.0
1,2550.0,30,Ready to Move,5 out of 9,Furnished,Harmony,,17000000.0
4,3150.0,30,Ready to Move,7 out of 11,Furnished,3,4762.0,15000000.0
1,2500.0,23,Ready to Move,8 out of 12,Semi-Furnished,East,5020.0,25100000.0
1,1710.0,30,Ready to Move,1 out of 1,Unfurnished,4,16082.0,27500000.0
1,612.0,30,Ready to Move,Ground out of 4,,,16340.0,20000000.0
0,100800.0,38,New Property,,,,1488.0,150000000.0
1,1800.0,30,Poss. by Jul '25,12 out of 12,Unfurnished,Shaligram The Emerald,5587.0,36000000.0
4,3800.0,9,Ready to Move,Resale,,,4474.0,17000000.0
1,1503.0,31,Ready to Move,Resale,Vatsalya Bungalows,3,6240.0,31200000.0
4,1935.0,5,Ready to Move,Resale,,,18088.0,35000000.0
4,7000.0,30,Ready to Move,Ground out of 3,Unfurnished,6,4643.0,32500000.0
2,650.0,38,Resale,Yes,,,84769.0,55100000.0
2,4410.0,38,Resale,Yes,,,20408.0,90000000.0
1,1800.0,35,Ready to Move,Resale,West,"Garden/Park, Main Road",12550.0,25100000.0
4,2530.0,30,Ready to Move,2 out of 11,Unfurnished,East,5968.0,15100000.0
4,,30,Ready to Move,1 out of 1,Unfurnished,1,349.0,1463300000.0000002
4,4438.0,30,Ready to Move,2 out of 3,,,8000.0,35500000.0
4,3564.0,30,Ready to Move,Ground out of 4,Semi-Furnished,4,4209.0,15000000.0
4,1200.0,35,Ready to Move,Resale,3,2,12500.0,15000000.0
1,2000.0,31,Ready to Move,Resale,East,Freehold,6000.0,15000000.0
4,1650.0,15,Ready to Move,Resale,Main Road,4,11515.0,19000000.0
4,2650.0,30,Ready to Move,Ground out of 2,,,12264.0,32500000.0
1,600.0,30,Ready to Move,Ground out of 1,,,35000.0,21000000.0
0,5733.0,38,Resale,,,,11512.0,66000000.0
4,1035.0,30,Ready to Move,Ground out of 1,Unfurnished,3,14493.0,15000000.0
4,1600.0,30,Ready to Move,Ground out of 2,Semi-Furnished,4,14062.0,22500000.0
1,2700.0,31,Ready to Move,Resale,East,"Garden/Park, Main Road",6605.0,25100000.0
1,125.0,15,Ready to Move,Resale,3,1,135185.0,36500000.0
1,225.0,15,Ready to Move,Resale,2,2,166667.0,50000000.0
0,302400.0,38,New Property,,,,177.0,100000000.0
4,1872.0,31,Ready to Move,Resale,East,2 Covered,18697.0,35000000.0
4,750.0,30,Ready to Move,Ground out of 2,,,22800.0,17100000.0
4,1000.0,30,Ready to Move,Ground out of 3,,,22000.0,22000000.0
0,2565.0,35,Ready to Move,Resale,North,Freehold,19493.0,50000000.0
1,2300.0,30,Ready to Move,Ground out of 1,Furnished,135 X,21740.0,45000000.0
4,2530.0,30,Ready to Move,1 out of 1,2,,13834.0,35000000.0
4,3500.0,30,Ready to Move,Ground out of 2,Semi-Furnished,3,10029.0,35100000.0
4,3500.0,30,Ready to Move,Ground out of 4,Semi-Furnished,Freehold,4286.0,15000000.0
1,3237.0,30,Ready to Move,7 out of 10,2 Covered,3,6179.0,20000000.0
4,430.556,38,Ready to Move,Resale,,,100928.0,43500000.0
4,3412.0,30,Ready to Move,4 out of 10,Furnished,West,5129.0,17500000.0
1,2205.0,30,Ready to Move,2 out of 3,Unfurnished,East,13379.0,29500000.0
1,1900.0,30,Ready to Move,Ground out of 2,Semi-Furnished,South -West,11842.0,22500000.0
4,2900.0,31,Ready to Move,Resale,1 Open,4,11379.0,33000000.0
4,,4,Ready to Move,Resale,,,8000.0,200000000.0
4,1305.0,35,Ready to Move,Resale,Freehold,4,14943.0,19500000.0
4,4500.0,30,Ready to Move,10 out of 10,Unfurnished,North - East,6889.0,31000000.0
4,1008.0,38,Ready to Move,Resale,,,24802.0,25000000.0
1,131.0,30,Ready to Move,2 out of 2,Unfurnished,131 X,152672.0,20000000.0
4,1374.0,30,Ready to Move,2 out of 5,,,10917.0,15000000.0
4,3740.0,30,Ready to Move,8 out of 12,Semi-Furnished,East,7219.0,27000000.0
1,1485.0,15,Ready to Move,Resale,North,Main Road,9375.0,15000000.0
1,3200.0,15,Ready to Move,Resale,East,Garden/Park,7746.0,27500000.0
1,2600.0,30,Ready to Move,1 out of 1,Unfurnished,East,10000.0,17500000.0
1,8500.0,15,Ready to Move,New Property,5,2,19444.0,70000000.0
1,1300.0,35,Ready to Move,Resale,East,Main Road,6875.0,22000000.0
1,8500.0,15,Ready to Move,Resale,West,Garden/Park,19444.0,70000000.0
2,7650.0,0,Freehold,Resale,1,20 m,3556.0,27200000.000000004
4,3895.0,35,Poss. by Dec '28,New Property,DMD Signus,4,,
1,2800.0,15,2 out of 12,New Property,North - West,Main Road,,
4,5300.0,30,Ready to Move,4 out of 5,,,,
4,3450.0,35,Poss. by Dec '26,New Property,Sangini Epitome,4,4750.0,16299999.999999998
4,5225.0,35,Poss. by Jan '25,New Property,Surya Signature,5,7100.0,37000000.0
4,2700.0,23,Poss. by Dec '27,5 out of 13,Unfurnished,East,6351.0,17100000.0
4,3770.0,23,Poss. by Apr '26,9 out of 20,Unfurnished,East,5850.0,22000000.0
4,2550.0,23,Poss. by Dec '24,6 out of 12,Unfurnished,East,6500.0,16500000.0
1,2034.0,23,Poss. by Aug '25,4 out of 10,Unfurnished,East,5000.0,22600000.0
4,,23,Poss. by Jan '26,4 out of 18,Unfurnished,East,12444.0,140000000.0
4,8000.0,23,Poss. by Apr '25,11 out of 12,Unfurnished,East,6301.0,50400000.0
1,2737.0,23,Ready to Move,9 out of 21,"2 Covered,",2,4499.0,24600000.0
4,3751.0,23,Poss. by Dec '26,5 out of 13,Unfurnished,East,6500.0,24300000.0
1,6300.0,30,Ready to Move,8 out of 10,2,,7500.0,75000000.0
1,680.0,30,Ready to Move,Lower Basement out of 1,,,147059.0,100000000.0
4,3047.0,23,Poss. by Jul '24,9 out of 13,Unfurnished,East,6111.0,18600000.0
4,3250.0,23,Poss. by Aug '26,5 out of 13,Unfurnished,South -West,4677.0,15200000.0
1,2681.0,35,Poss. by Jun '25,New Property,East,Garden/Park,5700.0,27700000.0
