facing,price_per_sqft,BHK,Location,area_type,area_sqft,transaction_type,ready_to_move,furnishing_level,price_rs
0,2642.0,1.0,Punagam Surat,2,625.0,2,1,1,1650000.0
54,4167.0,2.0,Piplod Surat,1,800.0,2,1,0,5000000.0
12,4028.0,2.0,Masma Village Surat,2,720.0,2,1,0,2900000.0
54,2683.0,1.0,Vadod Gam Surat,2,671.0,2,1,1,1800000.0
54,2647.0,4.0,Udhna Surat,2,1360.0,2,1,1,3600000.0
54,3626.0,2.0,Althan Surat,2,1241.0,1,0,0,4500000.0
12,2783.0,2.0,Jahangir Pura Surat,2,1150.0,2,1,0,3200000.0
12,5484.0,2.0,Unn Patiya Surat,2,547.0,2,1,0,3000000.0
12,2000.0,2.0,Sayan Surat,2,800.0,2,1,0,1600000.0
54,6203.0,3.0,Dindoli Surat,1,532.0,1,1,1,3300000.0
0,3500.0,1.0,Bhatar Surat,2,800.0,2,1,0,2800000.0
-1,3500.0,1.0,Sachin Surat,2,400.0,0,1,0,1400000.0
12,2909.0,3.0,Morabhagal Surat,1,745.0,2,1,1,3200000.0
54,3281.0,2.0,Palanpur Gam Surat,1,980.0,2,1,0,4200000.0
54,3385.0,1.0,Nan Pura Surat,2,650.0,2,1,0,2200000.0
83,2800.0,1.0,Royal plaza socity Surat,1,500.0,2,1,1,2100000.0
54,3333.0,1.0,103 AjithNath Awas Surat,2,630.0,2,1,0,2100000.0
97,3800.0,2.0,Mota Varachha Surat,2,1312.0,2,1,0,4990000.0
-1,3200.0,2.0,bejanwala complex Surat,2,1250.0,0,1,0,4000000.0
12,2118.0,2.0,Olpad Sayan Road Surat,2,850.0,2,1,0,1800000.0
19,2069.0,4.0,Navagam Surat,2,1450.0,2,1,0,3000000.0
0,2800.0,1.0,Bardoli Surat,2,500.0,2,1,0,1400000.0
0,3000.0,1.0,Suman sagar  vesu surat Surat,2,450.0,2,1,0,1350000.0
12,3846.0,2.0,Surat,2,1040.0,2,1,0,4000000.0
0,2912.0,2.0,Karamala Surat,1,800.0,0,0,0,1950000.0
0,3509.0,1.0,LP Savani Surat,2,570.0,2,1,1,2000000.0
0,6250.0,2.0,Lambe Hanuman Road Surat,1,700.0,0,1,0,5000000.0
56,2719.0,2.0,real kedar bhavan Surat,1,800.0,2,1,0,3200000.0
156,3239.0,2.0,Godadara Surat,2,1235.0,2,1,0,4000000.0
-1,2778.0,2.0,Velanja Surat,2,140.0,0,0,0,3500000.0
0,4076.0,1.0,Piplod Surat,2,785.0,2,1,1,3200000.0
12,9430.0,2.0,Madhuvan Bungalow Dindoli Surat,2,456.0,2,1,0,4300000.0
99,3500.0,2.0,Kailash Nagar Surat,2,1000.0,2,1,0,3500000.0
0,1979.0,1.0,Amroli Surat,2,480.0,2,1,0,950000.0
154,3214.0,2.0,Nagar Surat,1,1058.0,2,1,0,3400000.0
12,7564.0,2.0,Umra Surat,1,625.0,2,1,0,5000000.0
54,2118.0,2.0,Chalthan Surat,1,1450.0,2,1,0,3600000.0
12,3333.0,2.0,Palanpur Surat,2,1500.0,2,1,1,5000000.0
12,3111.0,4.0,Dindoli Surat,2,900.0,2,1,0,2800000.0
155,3022.0,1.0,Angan Appartment Surat,1,695.0,2,1,0,2100000.0
-1,1875.0,1.0,Kosamba Surat,2,480.0,0,1,0,900000.0
12,5385.0,2.0,Udhana Surat,2,650.0,2,1,0,3500000.0
12,3800.0,2.0,Palanpur Gam Surat,1,750.0,1,1,0,4750000.0
0,1682.0,1.0,Sachin Surat,2,550.0,2,1,0,930000.0000000001
0,4400.0,1.0,Jahangir Pura Surat,2,500.0,2,1,0,2200000.0
54,2512.0,2.0,Surat,2,1075.0,2,1,1,2700000.0
0,2486.0,2.0,Katar Gam Surat,2,925.0,2,1,1,2300000.0
12,33333.0,1.0,Saroli Surat,1,12.0,0,0,0,500000.0
3,3608.0,2.0,Parvat Patia Surat,2,1275.0,2,1,0,4600000.0
98,3889.0,1.0,214 Surat,1,36.0,2,1,0,1800000.0
0,3600.0,1.0,Adajan Surat,2,500.0,2,1,0,1800000.0
0,3333.0,1.0,Dindoli Surat,2,450.0,2,1,0,1500000.0
98,3222.0,2.0,Olpad Surat,2,900.0,2,1,0,2900000.0
12,2428.0,2.0,Sagrampura Surat,2,762.0,2,1,0,1850000.0
-1,3198.0,2.0,Sai Vatika Recidency Olpad Sayan road Surat,2,813.0,0,1,0,2600000.0
0,2750.0,1.0,Katar Gam Surat,2,400.0,2,1,0,1100000.0
83,3213.0,1.0,Adajan Gam Surat,1,625.0,2,1,1,2650000.0
12,3444.0,2.0,Swagat home Surat,2,973.0,2,1,0,3350000.0
14,2769.0,1.0,Nan Pura Surat,2,650.0,2,1,0,1800000.0
155,4237.0,2.0,Kailash Nagar Surat,2,1180.0,2,1,0,5000000.0
12,3922.0,2.0,Pal Surat,2,1071.0,2,1,0,4200000.0
0,1161.0,1.0,Sayan Surat,2,775.0,2,1,0,900000.0
12,4740.0,2.0,Sahjanand heights Surat,2,865.0,2,1,1,4100000.0
12,2100.0,4.0,Bamroli Surat,2,2000.0,2,1,0,4200000.0
0,3571.0,1.0,Athwalines Surat,2,700.0,2,1,0,2500000.0
12,20.0,7.0,Himant Nagar Chowkdi Surat,2,25.0,2,1,0,500000.0
0,1858.0,1.0,Bardoli Surat,2,646.0,2,1,0,1200000.0
0,2500.0,3.0,Kamrej Surat,2,1000.0,2,1,0,2500000.0
0,3500.0,1.0,Jahangir Pura Surat,2,813.0,2,1,0,2850000.0
54,2750.0,1.0,star pavitra nagri kholvad Surat,1,400.0,2,1,0,2200000.0
-1,2834.0,3.0,Vyara Surat,2,900.0,0,1,0,2550000.0
99,2485.0,2.0,Jahangir Pura Surat,2,1187.0,1,1,1,2950000.0
19,2222.0,4.0,Katargam Surat,2,200.0,2,1,1,4000000.0
83,2769.0,2.0,Katargam Surat,1,630.0,2,1,1,2700000.0
0,2333.0,1.0,Gopi Pura Surat,2,600.0,2,1,0,1400000.0
54,2400.0,1.0,Kadodar Surat,1,680.0,2,1,0,1800000.0
12,5000.0,2.0,Kamrej Surat,2,800.0,2,1,0,4000000.0
12,2000.0,1.0,Gopi Pura Surat,2,800.0,2,1,0,1600000.0
-1,3715.0,2.0,Bhestan Surat,2,720.0,0,1,0,2680000.0
98,8636.0,2.0,Varachha Main Road Surat,1,578.0,2,1,1,5000000.0
22,5882.0,4.0,Mahalaxmi Society Surat,2,850.0,2,1,1,5000000.0
-1,7143.0,4.0,Sonifaliya Surat,2,70.0,0,1,0,4500000.0
12,2979.0,2.0,Bhatpore Surat,2,1175.0,2,1,1,3500000.0
0,5000.0,1.0,Ghod Dod Rd Surat,2,600.0,2,1,1,3000000.0
60,5000.0,2.0,Kamrej Char Rasta Surat,1,700.0,2,1,0,3500000.0
12,5172.0,2.0,Mota Varachha Surat,2,580.0,2,1,1,3000000.0
-1,2750.0,2.0,Olpad Surat,2,800.0,0,1,0,2200000.0
0,3500.0,1.0,Adajan Surat,2,600.0,2,1,0,2100000.0
83,10648.0,2.0,Udhna Surat,1,270.0,2,1,1,2300000.0
12,1667.0,2.0,Rustampura Surat,2,900.0,2,1,0,1500000.0
12,3158.0,2.0,Adajan Surat,2,950.0,0,0,0,3000000.0
1,2344.0,2.0,Hazira Road Surat,2,960.0,2,1,1,2250000.0
97,3158.0,2.0,Bhumi complex Surat,2,950.0,2,1,1,3000000.0
0,3231.0,1.0,Adajan Surat,2,650.0,2,1,0,2100000.0
54,3418.0,3.0,Adajan Surat,2,1141.0,2,1,0,3900000.0
12,1800.0,2.0,Hari Pura Surat,2,1000.0,2,1,0,1800000.0
12,1818.0,1.0,Palsana Surat,2,550.0,2,1,0,1000000.0
97,3364.0,2.0,Punagam Surat,1,650.0,2,1,0,3700000.0
0,3571.0,1.0,krishna Park Appartment Surat,1,550.0,2,1,1,2500000.0
0,1923.0,1.0,Kadodar Surat,2,494.0,2,1,0,950000.0
0,5510.0,2.0,Dindoli Surat,2,726.0,2,1,0,4000000.0
12,2500.0,2.0,SK Apt Patel Colony Surat,2,1200.0,2,1,1,3000000.0
0,3385.0,1.0,Bardoli Surat,2,650.0,2,1,0,2200000.0
12,2800.0,2.0,Adajan Surat,1,950.0,2,1,1,2800000.0
-1,3472.0,3.0,Olpad Surat,2,160.0,0,1,0,5000000.0
165,3896.0,2.0,Nagar Surat,2,1155.0,2,1,1,4500000.0
12,3833.0,2.0,Kadodara Surat,2,600.0,2,1,0,2300000.0
12,2336.0,2.0,Saroli Surat,2,1284.0,2,1,1,3000000.0
-1,3509.0,2.0,Nilkanth Park society Surat,2,1083.0,0,0,0,3800000.0
12,3500.0,2.0,Kailash Nagar Surat,2,1200.0,2,1,0,4200000.0
12,3525.0,2.0,Suryam Sky Palanpor Surat,1,1000.0,2,1,0,4300000.0
54,3684.0,2.0,Jay Mahakali Krupa Apartment Surat,1,700.0,2,1,0,3500000.0
0,2251.0,1.0,Kadodara Surat,2,622.0,2,1,0,1400000.0
0,4124.0,1.0,Jahangir Pura Surat,2,485.0,2,1,0,2000000.0
